"","family_id","count"
"1","",20
"2","abkh1242",1
"3","afro1255",17
"4","ainu1252",1
"5","algi1248",8
"6","arau1255",1
"7","araw1281",4
"8","atha1245",2
"9","atla1278",52
"10","aust1305",4
"11","aust1307",49
"12","ayma1253",3
"13","barb1265",1
"14","book1242",1
"15","bord1247",1
"16","boro1281",1
"17","cadd1255",1
"18","cari1283",6
"19","cent2225",1
"20","chib1249",3
"21","choc1280",1
"22","chon1288",1
"23","chuk1271",2
"24","coch1271",2
"25","dizo1235",1
"26","drav1251",6
"27","east2503",1
"28","eski1264",5
"29","gunw1250",1
"30","hmon1336",1
"31","indo1319",87
"32","iroq1247",5
"33","iwai1246",1
"34","japo1237",4
"35","jarr1235",1
"36","jiva1245",1
"37","kart1248",1
"38","katu1274",1
"39","kawe1237",1
"40","khoe1240",4
"41","kiow1265",2
"42","kore1284",1
"43","kxaa1236",1
"44","maba1274",1
"45","mata1289",2
"46","maya1287",4
"47","misu1242",1
"48","mong1349",1
"49","musk1252",1
"50","nilo1247",7
"51","nivk1234",1
"52","nucl1708",1
"53","nucl1709",3
"54","nucl1710",5
"55","nyul1248",1
"56","otom1299",2
"57","pama1250",9
"58","pano1259",1
"59","quec1387",4
"60","saha1256",1
"61","sali1255",1
"62","sali1297",1
"63","sino1245",6
"64","siou1252",2
"65","skoo1245",1
"66","taik1256",2
"67","tang1340",1
"68","tara1323",1
"69","tsim1258",1
"70","tuca1253",1
"71","tung1282",2
"72","tupi1275",5
"73","turk1311",9
"74","ural1272",10
"75","utoa1244",9
"76","waka1280",2
"77","worr1236",4
"78","yano1268",1
"79","yuka1259",1
